,app_name,avg_sentiment_N100,avg_sentiment_N10,sentiment_difference,pos_to_neg,neg_to_pos
0, 神明的一天世界-God's One Day World,0.138,-0.006,0.14400000000000002,True,False
1,! That Bastard Is Trying To Steal Our Gold !,-0.503,-0.779,0.276,False,False
2,"!""We Are The Dwarves""!",0.193,0.199,-0.006000000000000005,False,False
3,"""Glow Ball"" - The billiard puzzle game",-0.907,-0.999,0.09199999999999997,False,False
4,#SelfieTennis,0.193,0.219,-0.025999999999999995,False,False
5,#killallzombies,-0.157,-0.157,0.0,False,False
6,$1 Ride,-0.765,-0.62,-0.14500000000000002,False,False
7,'n Verlore Verstand,-0.397,-0.6,0.20299999999999996,False,False
8,.EXE,0.848,0.848,0.0,False,False
9,001 Game Creator,0.209,0.365,-0.156,False,False
10,0RBITALIS,0.079,0.129,-0.05,False,False
11,1 Moment Of Time: Silentville,-0.244,-0.377,0.133,False,False
12,"1,000 Heads Among the Trees",0.44,0.582,-0.14199999999999996,False,False
13,10 Minute Barbarian,0.104,0.014,0.09,False,False
14,10 Minute Tower,-0.312,-0.312,0.0,False,False
15,10 Second Ninja,-0.004,0.557,-0.561,False,True
16,10 Second Ninja X,0.199,0.048,0.15100000000000002,False,False
17,"10,000,000",0.381,0.021,0.36,False,False
18,100% Orange Juice,0.226,-0.202,0.42800000000000005,True,False
19,1000 Amps,0.305,0.588,-0.283,False,False
20,1001 Spikes,0.031,0.401,-0.37,False,False
21,101 Ways to Die,-0.125,-0.204,0.07899999999999999,False,False
22,12 Labours of Hercules,0.734,0.779,-0.04500000000000004,False,False
23,12 Labours of Hercules II: The Cretan Bull,0.396,0.757,-0.361,False,False
24,12 Labours of Hercules III: Girl Power,0.317,0.014,0.303,False,False
25,12 Labours of Hercules IV: Mother Nature,0.519,0.6,-0.08099999999999996,False,False
26,12 Labours of Hercules V: Kids of Hellas,0.321,0.58,-0.25899999999999995,False,False
27,12 is Better Than 6,0.246,0.396,-0.15000000000000002,False,False
28,12 orbits,0.752,0.809,-0.05700000000000005,False,False
29,123 Slaughter Me Street,0.096,-0.002,0.098,True,False
30,140,0.631,0.598,0.03300000000000003,False,False
31,16 Bit Arena,-0.239,-0.591,0.352,False,False
32,16bit Trader,-0.71,-0.806,0.09600000000000009,False,False
33,1775: Rebellion,0.168,0.003,0.165,False,False
34,18 Wheels of Steel: Across America,0.934,0.934,0.0,False,False
35,18 Wheels of Steel: American Long Haul,-0.083,-0.596,0.513,False,False
36,18 Wheels of Steel: Extreme Trucker,-0.057,-0.401,0.34400000000000003,False,False
37,18 Wheels of Steel: Extreme Trucker 2,-0.551,-0.391,-0.16000000000000003,False,False
38,1849,0.165,0.063,0.10200000000000001,False,False
39,1917 - The Alien Invasion DX,0.455,0.779,-0.324,False,False
40,1931: Scheherazade at the Library of Pergamum,0.197,0.35,-0.15299999999999997,False,False
41,1942: The Pacific Air War,-0.273,-0.201,-0.07200000000000001,False,False
42,1953 - KGB Unleashed,-0.398,-0.605,0.20699999999999996,False,False
43,1954 Alcatraz,-0.058,-0.195,0.137,False,False
44,1979 Revolution: Black Friday,0.128,-0.192,0.32,True,False
45,1993 Space Machine,0.017,0.184,-0.16699999999999998,False,False
46,199X,0.182,0.398,-0.21600000000000003,False,False
47,1Heart,-0.235,-0.201,-0.033999999999999975,False,False
48,1Quest,-0.162,-0.798,0.636,False,False
49,200% Mixed Juice!,0.131,0.623,-0.492,False,False
50,2064: Read Only Memories,0.377,0.777,-0.4,False,False
51,21 Steps to Soul,0.052,0.052,0.0,False,False
52,24 Hours 'til Rescue,-0.678,-0.588,-0.09000000000000008,False,False
53,3 Stars of Destiny,-0.017,-0.4,0.383,False,False
54,300 Dwarves,-0.497,-0.402,-0.09499999999999997,False,False
55,3079 -- Block Action RPG,-0.267,-0.13,-0.137,False,False
56,3089 -- Futuristic Action RPG,0.133,0.194,-0.061,False,False
57,35MM,-0.043,0.006,-0.048999999999999995,False,True
58,3D Chess,0.591,0.591,0.0,False,False
59,3D Mini Golf,-0.723,-0.599,-0.124,False,False
60,3D ParticleGen Visual FX,0.003,0.003,0.0,False,False
61,3D Sprite Renderer and Convex Hull Editor,-1.0,-1.0,0.0,False,False
62,3D Ultra Minigolf Adventures Deluxe,-0.037,-0.201,0.164,False,False
63,3DF Zephyr Lite Steam Edition,0.452,0.4,0.05199999999999999,False,False
64,3DMark 11,0.409,0.613,-0.20400000000000001,False,False
65,3DRPG,0.168,-0.007,0.17500000000000002,True,False
66,3SwitcheD,-0.599,-0.249,-0.35,False,False
67,3d Bridges,-0.331,-0.396,0.065,False,False
68,3d Engineers,-0.271,-0.198,-0.07300000000000001,False,False
69,4 Elements,0.298,0.197,0.10099999999999998,False,False
70,404Sight,0.17,0.15,0.020000000000000018,False,False
71,4089: Ghost Within,-0.02,0.028,-0.048,False,True
72,4PM,-0.62,-0.231,-0.389,False,False
73,4x4 Dream Race,-0.377,0.036,-0.413,False,True
74,500 Years Act 1,-0.821,-0.601,-0.21999999999999997,False,False
75,5089: The Action RPG,0.374,0.035,0.33899999999999997,False,False
76,60 Seconds!,-0.021,-0.028,0.006999999999999999,False,False
77,6180 the moon,0.598,0.582,0.016000000000000014,False,False
78,688(I) Hunter/Killer,-0.078,-0.124,0.046,False,False
79,"7 Grand Steps, Step 1: What Ancients Begat",0.014,-0.153,0.167,True,False
80,7 Mages,-0.05,0.013,-0.063,False,True
81,7 Wonders II,0.042,-0.33,0.372,True,False
82,7 Wonders of the Ancient World,-0.036,-0.028,-0.007999999999999997,False,False
83,7 Wonders: Ancient Alien Makeover,0.513,0.244,0.269,False,False
84,7 Wonders: Magical Mystery Tour,0.98,0.98,0.0,False,False
85,7 Wonders: The Treasures of Seven,0.012,0.02,-0.008,False,False
86,"7,62 High Calibre",-0.073,-0.407,0.33399999999999996,False,False
87,7D Game （VR for VIVE）,0.326,0.326,0.0,False,False
88,7th Legion,-0.44,-0.215,-0.225,False,False
89,8-Bit Adventures 1: The Forgotten Journey Remastered Edition,0.58,0.369,0.21099999999999997,False,False
90,8-Bit Armies,0.394,0.379,0.015000000000000013,False,False
91,8-Bit Commando,-0.393,-0.594,0.20099999999999996,False,False
92,8-Bit Hordes,0.324,0.59,-0.26599999999999996,False,False
93,80 Days,0.622,0.564,0.05800000000000005,False,False
94,868-HACK,0.436,0.416,0.020000000000000018,False,False
95,8Bit Fiesta,0.432,0.382,0.04999999999999999,False,False
96,8BitMMO,-0.144,-0.794,0.65,False,False
97,8infinity,0.204,0.41,-0.206,False,False
98,9 Clues 2: The Ward,0.323,0.206,0.11700000000000002,False,False
99,9 Clues: The Secret of Serpent Creek,0.48,0.79,-0.31000000000000005,False,False
100,9.03m,0.206,0.201,0.004999999999999977,False,False
101,99 Levels To Hell,-0.243,-0.018,-0.225,False,False
102,99 Spirits,-0.244,-0.008,-0.236,False,False
103,99 Waves to Die,-0.029,0.058,-0.08700000000000001,False,True
104,9Grids VR,-0.25,-0.25,0.0,False,False
105,9th Company - Roots of Terror,-0.487,-0.778,0.29100000000000004,False,False
106,9th Dawn II,0.248,0.354,-0.10599999999999998,False,False
107,A Bastard's Tale,0.288,0.162,0.12599999999999997,False,False
108,A Bird Story,0.291,0.794,-0.5030000000000001,False,False
109,A Blind Legend,0.074,0.366,-0.292,False,False
110,A Chair in a Room: Greenwater,0.577,0.398,0.17899999999999994,False,False
111,A City Sleeps,-0.052,0.394,-0.446,False,True
112,A Date in the Park,0.039,0.005,0.034,False,False
113,A Day in the Woods,1.0,1.0,0.0,False,False
114,A Detective's Novel,0.194,0.555,-0.36100000000000004,False,False
115,A Druid's Duel,0.234,0.203,0.031,False,False
116,"A Fear Of Heights, And Other Things",0.541,0.997,-0.45599999999999996,False,False
117,A Fistful of Gun,0.131,-0.003,0.134,True,False
118,A Game of Changes,0.423,0.423,0.0,False,False
119,A Game of Dwarves,0.036,-0.014,0.049999999999999996,True,False
120,A Game of Thrones - Genesis,-0.72,-0.6,-0.12,False,False
121,A Golden Wake,0.038,0.191,-0.153,False,False
122,A Good Snowman Is Hard To Build,0.711,0.756,-0.04500000000000004,False,False
123,A Healer Only Lives Twice,0.303,0.328,-0.025000000000000022,False,False
124,A Kiss For The Petals - Remembering How We Met,0.375,0.404,-0.029000000000000026,False,False
125,A Legend of Luca,0.406,0.227,0.17900000000000002,False,False
126,A Little Lily Princess,0.716,0.798,-0.08200000000000007,False,False
127,A Magical High School Girl,0.834,0.773,0.06099999999999994,False,False
128,A Mass of Dead,-0.502,-0.599,0.09699999999999998,False,False
129,A New Beginning - Final Cut,-0.205,-0.026,-0.179,False,False
130,A Princess' Tale,0.067,0.173,-0.10599999999999998,False,False
131,A Quiver of Crows,0.09,0.2,-0.11000000000000001,False,False
132,A Sirius Game,-0.516,-0.419,-0.09700000000000003,False,False
133,A Story About My Uncle,0.706,0.609,0.09699999999999998,False,False
134,A Stroke of Fate: Operation Bunker,-1.0,-1.0,0.0,False,False
135,A Study in Steampunk: Choice by Gaslight,0.785,0.991,-0.20599999999999996,False,False
136,A Valley Without Wind,-0.086,-0.414,0.32799999999999996,False,False
137,A Valley Without Wind 2,-0.424,-0.386,-0.03799999999999998,False,False
138,A Vampyre Story,-0.247,-0.055,-0.192,False,False
139,A Verdant Hue,-0.68,-0.68,0.0,False,False
140,A Virus Named TOM,-0.191,-0.595,0.40399999999999997,False,False
141,A Walk in the Dark,0.114,0.018,0.096,False,False
142,A Week of Circus Terror,-0.133,-0.133,0.0,False,False
143,A Wild Catgirl Appears!,-0.437,-0.402,-0.034999999999999976,False,False
144,A Wise Use of Time,0.482,0.986,-0.504,False,False
145,A Wizard's Lizard,0.187,0.335,-0.14800000000000002,False,False
146,A Wolf in Autumn,0.041,0.387,-0.34600000000000003,False,False
147,A dead world's dream,0.356,-0.027,0.383,True,False
148,A grande bagunça espacial - The big space mess,-0.25,-0.23,-0.01999999999999999,False,False
149,A-10 VR,0.706,0.6,0.10599999999999998,False,False
150,A-Gents,0.541,0.416,0.12500000000000006,False,False
151,A-Men 2,-0.647,-0.647,0.0,False,False
152,A-Train 8,-0.722,-0.618,-0.10399999999999998,False,False
153,A-Train 9 V4.0 : Japan Rail Simulator,0.268,0.194,0.07400000000000001,False,False
154,A-men,-0.702,-0.998,0.29600000000000004,False,False
155,A.I. Invasion,-0.181,-0.596,0.415,False,False
156,A.I. Space Corps,-0.361,-0.361,0.0,False,False
157,A.I.M. Racing,-0.154,-0.385,0.231,False,False
158,A.I.M.2 Clan Wars,-0.15,-0.213,0.063,False,False
159,A.R.E.S.,-0.017,-0.189,0.172,False,False
160,A.R.E.S. Extinction Agenda EX,0.132,0.199,-0.067,False,False
161,A.V.,-0.088,-0.197,0.10900000000000001,False,False
162,A.V.A. Alliance of Valiant Arms™,-0.269,-0.366,0.09699999999999998,False,False
163,ABC Coloring Town,-0.109,-0.276,0.16700000000000004,False,False
164,ABE VR,-0.186,-0.029,-0.157,False,False
165,ABO MANDO,-0.522,-0.427,-0.09500000000000003,False,False
166,ABRACA - Imagic Games,0.493,0.493,0.0,False,False
167,ABZÛ,0.689,0.599,0.08999999999999997,False,False
168,ACDSee 15,0.598,0.598,0.0,False,False
169,ACE - Arena: Cyber Evolution,0.341,0.435,-0.09399999999999997,False,False
170,ACE Academy,0.457,0.597,-0.13999999999999996,False,False
171,ACE COMBAT™ ASSAULT HORIZON Enhanced Edition,-0.255,-0.2,-0.05499999999999999,False,False
172,ACID Music Studio 10 - Steam Powered,-0.15,-0.201,0.05100000000000002,False,False
173,ADOM (Ancient Domains Of Mystery),0.42,0.199,0.22099999999999997,False,False
174,ADR1FT,-0.338,-0.347,0.008999999999999952,False,False
175,ADventure Lib,-0.399,-0.202,-0.197,False,False
176,AGON - The Lost Sword of Toledo,0.957,0.957,0.0,False,False
177,AGON - The Mysterious Codex (Trilogy),0.285,0.285,0.0,False,False
178,AI War: Fleet Command,0.436,0.372,0.064,False,False
179,AI: Rampage,-0.721,-0.96,0.239,False,False
180,AION Free-to-Play,-0.054,-0.785,0.731,False,False
181,AIPD - Artificial Intelligence Police Department,0.616,0.726,-0.10999999999999999,False,False
