app_name,avg_sentiment
 神明的一天世界-God's One Day World,0.138
! That Bastard Is Trying To Steal Our Gold !,-0.503
"!""We Are The Dwarves""!",0.193
"""Glow Ball"" - The billiard puzzle game",-0.907
#SelfieTennis,0.193
#killallzombies,-0.157
$1 Ride,-0.765
'n Verlore Verstand,-0.397
.EXE,0.848
001 Game Creator,0.209
0RBITALIS,0.079
1 Moment Of Time: Silentville,-0.244
"1,000 Heads Among the Trees",0.44
10 Minute Barbarian,0.104
10 Minute Tower,-0.312
10 Second Ninja,-0.004
10 Second Ninja X,0.199
"10,000,000",0.381
100% Orange Juice,0.226
1000 Amps,0.305
1001 Spikes,0.031
101 Ways to Die,-0.125
12 Labours of Hercules,0.734
12 Labours of Hercules II: The Cretan Bull,0.396
12 Labours of Hercules III: Girl Power,0.317
12 Labours of Hercules IV: Mother Nature,0.519
12 Labours of Hercules V: Kids of Hellas,0.321
12 is Better Than 6,0.246
12 orbits,0.752
123 Slaughter Me Street,0.096
140,0.631
16 Bit Arena,-0.239
16bit Trader,-0.71
1775: Rebellion,0.168
18 Wheels of Steel: Across America,0.934
18 Wheels of Steel: American Long Haul,-0.083
18 Wheels of Steel: Extreme Trucker,-0.057
18 Wheels of Steel: Extreme Trucker 2,-0.551
1849,0.165
1917 - The Alien Invasion DX,0.455
1931: Scheherazade at the Library of Pergamum,0.197
1942: The Pacific Air War,-0.273
1953 - KGB Unleashed,-0.398
1954 Alcatraz,-0.058
1979 Revolution: Black Friday,0.128
1993 Space Machine,0.017
199X,0.182
1Heart,-0.235
1Quest,-0.162
200% Mixed Juice!,0.131
2064: Read Only Memories,0.377
21 Steps to Soul,0.052
24 Hours 'til Rescue,-0.678
3 Stars of Destiny,-0.017
300 Dwarves,-0.497
3079 -- Block Action RPG,-0.267
3089 -- Futuristic Action RPG,0.133
35MM,-0.043
3D Chess,0.591
3D Mini Golf,-0.723
3D ParticleGen Visual FX,0.003
3D Sprite Renderer and Convex Hull Editor,-1.0
3D Ultra Minigolf Adventures Deluxe,-0.037
3DF Zephyr Lite Steam Edition,0.452
3DMark 11,0.409
3DRPG,0.168
3SwitcheD,-0.599
3d Bridges,-0.331
3d Engineers,-0.271
4 Elements,0.298
404Sight,0.17
4089: Ghost Within,-0.02
4PM,-0.62
4x4 Dream Race,-0.377
500 Years Act 1,-0.821
5089: The Action RPG,0.374
60 Seconds!,-0.021
6180 the moon,0.598
688(I) Hunter/Killer,-0.078
"7 Grand Steps, Step 1: What Ancients Begat",0.014
7 Mages,-0.05
7 Wonders II,0.042
7 Wonders of the Ancient World,-0.036
7 Wonders: Ancient Alien Makeover,0.513
7 Wonders: Magical Mystery Tour,0.98
7 Wonders: The Treasures of Seven,0.012
"7,62 High Calibre",-0.073
7D Game （VR for VIVE）,0.326
7th Legion,-0.44
8-Bit Adventures 1: The Forgotten Journey Remastered Edition,0.58
8-Bit Armies,0.394
8-Bit Commando,-0.393
8-Bit Hordes,0.324
80 Days,0.622
868-HACK,0.436
8Bit Fiesta,0.432
8BitMMO,-0.144
8infinity,0.204
9 Clues 2: The Ward,0.323
9 Clues: The Secret of Serpent Creek,0.48
9.03m,0.206
99 Levels To Hell,-0.243
99 Spirits,-0.244
99 Waves to Die,-0.029
9Grids VR,-0.25
9th Company - Roots of Terror,-0.487
9th Dawn II,0.248
A Bastard's Tale,0.288
A Bird Story,0.291
A Blind Legend,0.074
A Chair in a Room: Greenwater,0.577
A City Sleeps,-0.052
A Date in the Park,0.039
A Day in the Woods,1.0
A Detective's Novel,0.194
A Druid's Duel,0.234
"A Fear Of Heights, And Other Things",0.541
A Fistful of Gun,0.131
A Game of Changes,0.423
A Game of Dwarves,0.036
A Game of Thrones - Genesis,-0.72
A Golden Wake,0.038
A Good Snowman Is Hard To Build,0.711
A Healer Only Lives Twice,0.303
A Kiss For The Petals - Remembering How We Met,0.375
A Legend of Luca,0.406
A Little Lily Princess,0.716
A Magical High School Girl,0.834
A Mass of Dead,-0.502
A New Beginning - Final Cut,-0.205
A Princess' Tale,0.067
A Quiver of Crows,0.09
A Sirius Game,-0.516
A Story About My Uncle,0.706
A Stroke of Fate: Operation Bunker,-1.0
A Study in Steampunk: Choice by Gaslight,0.785
A Valley Without Wind,-0.086
A Valley Without Wind 2,-0.424
A Vampyre Story,-0.247
A Verdant Hue,-0.68
A Virus Named TOM,-0.191
A Walk in the Dark,0.114
A Week of Circus Terror,-0.133
A Wild Catgirl Appears!,-0.437
A Wise Use of Time,0.482
A Wizard's Lizard,0.187
A Wolf in Autumn,0.041
A dead world's dream,0.356
A grande bagunça espacial - The big space mess,-0.25
A-10 VR,0.706
A-Gents,0.541
A-Men 2,-0.647
A-Train 8,-0.722
A-Train 9 V4.0 : Japan Rail Simulator,0.268
A-men,-0.702
A.I. Invasion,-0.181
A.I. Space Corps,-0.361
A.I.M. Racing,-0.154
A.I.M.2 Clan Wars,-0.15
A.R.E.S.,-0.017
A.R.E.S. Extinction Agenda EX,0.132
A.V.,-0.088
A.V.A. Alliance of Valiant Arms™,-0.269
ABC Coloring Town,-0.109
ABE VR,-0.186
ABO MANDO,-0.522
ABRACA - Imagic Games,0.493
ABZÛ,0.689
ACDSee 15,0.598
ACE - Arena: Cyber Evolution,0.341
ACE Academy,0.457
ACE COMBAT™ ASSAULT HORIZON Enhanced Edition,-0.255
ACID Music Studio 10 - Steam Powered,-0.15
ADOM (Ancient Domains Of Mystery),0.42
ADR1FT,-0.338
ADventure Lib,-0.399
AGON - The Lost Sword of Toledo,0.957
AGON - The Mysterious Codex (Trilogy),0.285
AI War: Fleet Command,0.436
AI: Rampage,-0.721
AION Free-to-Play,-0.054
AIPD - Artificial Intelligence Police Department,0.616
AKIBA'S TRIP: Undead & Undressed,0.157
ALICE VR,-0.304
ALLTYNEX Second,0.623
ALONE IN SPACE,-0.26
ALONE?,-0.784
ALONE? - VR,-0.131
ALPAGES : THE FIVE BOOKS,-0.401
AL･FINE,-0.86
AMOK,-0.316
ANKI,0.297
APB Reloaded,-0.168
APOX,-0.69
APT,0.341
AR-K,-0.422
AR-K: The Great Escape,0.451
ARCADE GAME SERIES: DIG DUG,0.013
ARCADE GAME SERIES: GALAGA,0.454
ARCADE GAME SERIES: Ms. PAC-MAN,0.301
ARCADE GAME SERIES: PAC-MAN,0.154
ARMED SEVEN,0.433
ARSLAN: THE WARRIORS OF LEGEND,-0.081
ASA: A Space Adventure - Remastered Edition,0.422
ASCII Attack,0.408
ASMR Universe,-0.23
ASRECorp,0.309
ATOM GRRRL!!,-0.657
ATV GP,-0.058
AVSEQ,-0.542
AWA,0.499
AX:EL,-0.016
AZMD! Scorepocalypse ,0.214
AaAaAA!!! - A Reckless Disregard for Gravity,0.406
AaaaaAAaaaAAAaaAAAAaAAAAA!!! for the Awesome,0.366
Aarklash: Legacy,0.103
Aartform Curvy 3D 3.0,0.089
Aaru's Awakening,0.16
Abalone,-0.335
Abandoned: Chestnut Lodge Asylum,-0.175
Abbot's Book Demo,0.568
Abduction Action! Plus,-0.389
Abduction Bit,0.713
Aberoth,-0.224
Abode,0.78
"About Love, Hate and the other ones",0.48
Abrix the robot,-0.171
Absence,-0.712
Absent,0.126
Absolute Drift,0.441
Abyss Odyssey,-0.091
Abyss Raiders: Uncharted,-0.353
Abyss: The Wraiths of Eden,0.393
Acan's Call: Act 1,0.197
Acceleration of Suguri X-Edition,0.341
Accounting,0.52
Ace of Protectors,-0.398
Ace of Seafood,0.354
Ace of Words,-0.016
Aces Wild: Manic Brawling Action!,0.242
Aces of the Galaxy,-0.367
Aces of the Luftwaffe,-0.192
Achron,0.049
Acorn Assault: Rodent Revolution,-0.025
Across,1.0
Across the Rhine,-0.286
Act of Aggression,-0.156
Act of War: Direct Action,0.382
