app_name,avg_sentiment
 神明的一天世界-God's One Day World,-0.006
! That Bastard Is Trying To Steal Our Gold !,-0.779
"!""We Are The Dwarves""!",0.199
"""Glow Ball"" - The billiard puzzle game",-0.999
#SelfieTennis,0.219
#killallzombies,-0.157
$1 Ride,-0.62
'n Verlore Verstand,-0.6
.EXE,0.848
001 Game Creator,0.365
0RBITALIS,0.129
1 Moment Of Time: Silentville,-0.377
"1,000 Heads Among the Trees",0.582
10 Minute Barbarian,0.014
10 Minute Tower,-0.312
10 Second Ninja,0.557
10 Second Ninja X,0.048
"10,000,000",0.021
100% Orange Juice,-0.202
1000 Amps,0.588
1001 Spikes,0.401
101 Ways to Die,-0.204
12 Labours of Hercules,0.779
12 Labours of Hercules II: The Cretan Bull,0.757
12 Labours of Hercules III: Girl Power,0.014
12 Labours of Hercules IV: Mother Nature,0.6
12 Labours of Hercules V: Kids of Hellas,0.58
12 is Better Than 6,0.396
12 orbits,0.809
123 Slaughter Me Street,-0.002
140,0.598
16 Bit Arena,-0.591
16bit Trader,-0.806
1775: Rebellion,0.003
18 Wheels of Steel: Across America,0.934
18 Wheels of Steel: American Long Haul,-0.596
18 Wheels of Steel: Extreme Trucker,-0.401
18 Wheels of Steel: Extreme Trucker 2,-0.391
1849,0.063
1917 - The Alien Invasion DX,0.779
1931: Scheherazade at the Library of Pergamum,0.35
1942: The Pacific Air War,-0.201
1953 - KGB Unleashed,-0.605
1954 Alcatraz,-0.195
1979 Revolution: Black Friday,-0.192
1993 Space Machine,0.184
199X,0.398
1Heart,-0.201
1Quest,-0.798
200% Mixed Juice!,0.623
2064: Read Only Memories,0.777
21 Steps to Soul,0.052
24 Hours 'til Rescue,-0.588
3 Stars of Destiny,-0.4
300 Dwarves,-0.402
3079 -- Block Action RPG,-0.13
3089 -- Futuristic Action RPG,0.194
35MM,0.006
3D Chess,0.591
3D Mini Golf,-0.599
3D ParticleGen Visual FX,0.003
3D Sprite Renderer and Convex Hull Editor,-1.0
3D Ultra Minigolf Adventures Deluxe,-0.201
3DF Zephyr Lite Steam Edition,0.4
3DMark 11,0.613
3DRPG,-0.007
3SwitcheD,-0.249
3d Bridges,-0.396
3d Engineers,-0.198
4 Elements,0.197
404Sight,0.15
4089: Ghost Within,0.028
4PM,-0.231
4x4 Dream Race,0.036
500 Years Act 1,-0.601
5089: The Action RPG,0.035
60 Seconds!,-0.028
6180 the moon,0.582
688(I) Hunter/Killer,-0.124
"7 Grand Steps, Step 1: What Ancients Begat",-0.153
7 Mages,0.013
7 Wonders II,-0.33
7 Wonders of the Ancient World,-0.028
7 Wonders: Ancient Alien Makeover,0.244
7 Wonders: Magical Mystery Tour,0.98
7 Wonders: The Treasures of Seven,0.02
"7,62 High Calibre",-0.407
7D Game （VR for VIVE）,0.326
7th Legion,-0.215
8-Bit Adventures 1: The Forgotten Journey Remastered Edition,0.369
8-Bit Armies,0.379
8-Bit Commando,-0.594
8-Bit Hordes,0.59
80 Days,0.564
868-HACK,0.416
8Bit Fiesta,0.382
8BitMMO,-0.794
8infinity,0.41
9 Clues 2: The Ward,0.206
9 Clues: The Secret of Serpent Creek,0.79
9.03m,0.201
99 Levels To Hell,-0.018
99 Spirits,-0.008
99 Waves to Die,0.058
9Grids VR,-0.25
9th Company - Roots of Terror,-0.778
9th Dawn II,0.354
A Bastard's Tale,0.162
